store_title,store_addr,gu,dong
파리바게뜨 동덕여대,서울 성북구 화랑로11길 7,성북구,하월곡동
파리바게뜨 한양대,서울 성동구 사근동길 2 1층,성동구,행당동
파리바게뜨 화랑대역,서울 노원구 노원로1길 74,노원구,공릉동
파리바게뜨 건대,서울특별시 광진구 화양동 15-54,광진구,화양동
파리바게뜨 육사화랑회관,서울 노원구 화랑로 564 육군사관학교 1층,노원구,공릉동
파리바게뜨 왕십리역사,서울특별시 성동구 왕십리광장로 17 지상2층,성동구,행당동
파리바게뜨 종암,서울 성북구 종암로 96,성북구,종암동
파리바게뜨 안암오거리,서울특별시 동대문구 안암로 80,동대문구,제기동
파리바게뜨 공릉역,서울특별시 노원구 공릉동 567-5 1층,노원구,공릉동
파리바게뜨 용두신동아,서울시 동대문구 천호대로68 (용두동),동대문구,용두동
파리바게뜨 신내우디안,서울 중랑구 신내역로1길 85,중랑구,신내동
파리바게뜨 안암역,서울시 성북구 안암동 5가 102-48,성북구,안암동5가
파리바게뜨 카페광장힐스테이트,서울 광진구 아차산로 537-17,광진구,광장동
파리바게뜨 성수역,서울 성동구 아차산로7길 8,성동구,성수동2가
파리바게뜨 왕십리,서울 성동구 왕십리로 328,성동구,도선동
파리바게뜨 건대역로데오,서울 광진구 아차산로 30길 3,광진구,자양동
파리바게뜨 월곡두산,서울 성북구 하월곡동 76-7,성북구,하월곡동
파리바게뜨 공릉화랑,"서울특별시 노원구 화랑로51길 38 밀레니엄타워 103호, 104호",노원구,공릉동
파리바게뜨 카페광장,서울 광진구 아차산로70길 26,광진구,광장동
파리바게뜨 뚝섬역,"서울 성동구 상원길 39 상가동 1층 105, 106, 107호",성동구,성수동1가
파리바게뜨 성동구민회관,서울 성동구 고산자로6길 40,성동구,행당동
파리바게뜨 광진구청,서울특별시 광진구 구의동 252-15,광진구,구의동
파리바게뜨 육사생도회관,서울 노원구 공릉동 1-1 생도회관 1층,노원구,공릉동
파리바게뜨 육군사관학교,서울 노원구 공릉동 1-1 충무관 1층,노원구,공릉동
파리바게뜨 광운대역,서울 노원구 석계로 95 1층,노원구,월계동
파리바게뜨 왕십리텐즈힐,서울시 성동구 무학로 33 151동 1층 101호,성동구,하왕십리동
파리바게뜨 건대동문회관,서울특별시 광진구 자양동 227-336,광진구,자양동
파리바게뜨 왕십리무학,서울시 성동구 하왕십리동 957,성동구,하왕십리동
파리바게뜨 종암사거리,서울시 성북구 종암동 3-544 1층,성북구,종암동
파리바게뜨 장위뉴타운,"서울특별시 성북구 한천로 713 515동 2-106, 107호",성북구,장위동
파리바게뜨 신설동역,서울시 동대문구 신설동 98-32 교보재단빌딩,동대문구,신설동
파리바게뜨 장위동방,서울특별시 성북구 장위로 39,성북구,장위동
파리바게뜨 공릉,서울특별시 노원구 공릉동 208-5,노원구,공릉동
파리바게뜨 성수코오롱,서울 성동구 성수이로7길 27,성동구,성수동2가
파리바게뜨 하월곡동일,서울시 성북구 하월곡동 90-1776,성북구,하월곡동
파리바게뜨 서울숲역,서울 성동구 왕십리로 92,성동구,성수동1가
파리바게뜨 월곡래미안,서울시 성북구 하월곡동 79-107,성북구,하월곡동
파리바게뜨 강변프라임,서울특별시 광진구 구의동 631-1,광진구,구의동
파리바게뜨 행당,서울특별시 성동구 행당로6길 97 B동 213호,성동구,행당동
파리바게뜨 동서울터미널,서울특별시 광진구 구의동 546-11,광진구,구의동
